"Baby","Time","Duration (min)"
"First-Born","11/29/20 7:19 PM",691
"First-Born","11/30/20 8:40 AM",31
"First-Born","11/30/20 1:10 PM",39
"First-Born","11/30/20 3:35 PM",22
"First-Born","11/30/20 7:16 PM",689
"First-Born","12/1/20 8:31 AM",24
"First-Born","12/1/20 10:55 AM",40
"First-Born","12/1/20 2:16 PM",75
"First-Born","12/1/20 7:13 PM",712
"First-Born","12/2/20 9:10 AM",58
"First-Born","12/2/20 1:00 PM",61
"First-Born","12/2/20 7:01 PM",714
"First-Born","12/3/20 8:41 AM",46
"First-Born","12/3/20 11:45 AM",36
"First-Born","12/3/20 3:30 PM",70
"First-Born","12/3/20 7:07 PM",703
"First-Born","12/4/20 8:16 AM",32
"First-Born","12/4/20 3:22 PM",45
"First-Born","12/4/20 7:05 PM",705
"First-Born","12/5/20 8:34 AM",34
"First-Born","12/5/20 11:33 AM",25
"First-Born","12/5/20 3:36 PM",20
"First-Born","12/5/20 7:11 PM",244
"First-Born","12/6/20 12:10 AM",405
"First-Born","12/6/20 8:40 AM",23
"First-Born","12/6/20 12:28 PM",117
"First-Born","12/6/20 7:35 PM",690
"First-Born","12/7/20 11:05 AM",39
"First-Born","12/7/20 2:15 PM",135
"First-Born","12/7/20 7:30 PM",670
"First-Born","12/8/20 8:32 AM",25
"First-Born","12/8/20 11:11 AM",32
"First-Born","12/8/20 2:00 PM",29
"First-Born","12/8/20 7:13 PM",692
"First-Born","12/9/20 8:23 AM",34
"First-Born","12/9/20 11:20 AM",35
"First-Born","12/9/20 2:45 PM",35
"First-Born","12/9/20 6:58 PM",707
"First-Born","12/10/20 8:17 AM",34
"First-Born","12/10/20 11:15 AM",23
"First-Born","12/10/20 2:48 PM",28
"First-Born","12/10/20 7:00 PM",715
"First-Born","12/11/20 9:48 AM",43
"First-Born","12/11/20 12:30 PM",64
"First-Born","12/11/20 3:22 PM",34
"First-Born","12/11/20 7:00 PM",700
"First-Born","12/12/20 8:40 AM",32
"First-Born","12/12/20 11:55 AM",35
"First-Born","12/12/20 1:18 PM",10
"First-Born","12/12/20 2:47 PM",7
"First-Born","12/12/20 7:01 PM",704
"First-Born","12/13/20 8:47 AM",31
"First-Born","12/13/20 12:31 PM",16
"First-Born","12/13/20 2:41 PM",23
"First-Born","12/13/20 7:01 PM",704
"First-Born","12/14/20 8:16 AM",35
